threads,particles,numb_timestep,size_timestep
1,1000,100,9.042021e-01
1,1000,100,9.228821e-01
1,1000,100,9.014633e-01
1,1000,100,8.999300e-01
1,1000,100,9.012880e-01
1,1000,1000,9.034398e+00
1,1000,1000,9.000588e+00
1,1000,1000,9.000134e+00
1,1000,1000,9.015087e+00
1,1000,1000,9.052085e+00
1,1000,1000,9.004634e+00
1,1000,1000,9.010352e+00
1,1000,1000,9.036831e+00
1,1000,1000,8.992439e+00
1,1000,1000,9.017409e+00
1,1000,10000,9.024755e+01
1,1000,10000,9.049576e+01
1,1000,10000,8.981663e+01
1,1000,10000,9.048418e+01
1,1000,10000,9.001853e+01
1,1000,10000,9.024969e+01
1,1000,10000,9.003802e+01
1,1000,10000,9.015765e+01
1,1000,10000,8.998795e+01
1,1000,10000,8.993386e+01
2,10,10,1.844150e-04
2,10,10,9.195200e-05
2,10,10,7.849700e-05
2,10,10,1.493690e-04
2,10,10,9.270400e-05
2,10,10,8.142200e-05
2,10,10,1.588480e-04
2,10,10,8.133200e-05
2,10,10,1.453220e-04
2,10,10,7.705400e-05
2,10,100,1.908170e-04
2,10,100,2.179180e-04
2,10,100,1.890340e-04
2,10,100,2.635740e-04
2,10,100,3.426620e-04
2,10,100,3.610260e-04
2,10,100,2.206430e-04
2,10,100,1.959070e-04
2,10,100,1.913880e-04
2,10,100,1.782130e-04
2,10,1000,1.283714e-03
2,10,1000,2.500621e-03
2,10,1000,1.370645e-03
2,10,1000,1.305313e-03
2,10,1000,1.269376e-03
2,10,1000,2.892535e-03
2,10,1000,1.290937e-03
2,10,1000,1.272512e-03
2,10,1000,1.676929e-03
2,10,1000,1.314200e-03
2,10,10000,2.355717e-02
2,10,10000,2.363198e-02
2,10,10000,1.265023e-02
2,10,10000,1.217355e-02
2,10,10000,1.211661e-02
2,10,10000,2.400179e-02
2,10,10000,2.333384e-02
2,10,10000,1.272088e-02
2,10,10000,1.241723e-02
2,10,10000,2.359885e-02
2,100,10,6.520210e-04
2,100,10,9.003150e-04
2,100,10,5.395200e-04
2,100,10,1.388519e-03
2,100,10,1.111741e-03
2,100,10,5.484170e-04
2,100,10,5.267760e-04
2,100,10,5.454310e-04
2,100,10,8.608220e-04
2,100,10,6.120560e-04
2,100,100,5.176510e-03
2,100,100,6.161214e-03
2,100,100,4.943214e-03
2,100,100,4.820033e-03
2,100,100,5.301064e-03
2,100,100,5.620642e-03
2,100,100,5.115286e-03
2,100,100,5.130104e-03
2,100,100,6.708238e-03
2,100,100,4.956699e-03
2,100,1000,6.421235e-02
2,100,1000,4.995616e-02
2,100,1000,4.877547e-02
2,100,1000,5.443784e-02
2,100,1000,5.616334e-02
2,100,1000,5.149299e-02
2,100,1000,4.840055e-02
2,100,1000,4.722486e-02
2,100,1000,5.205563e-02
2,100,1000,4.867920e-02
2,100,10000,5.613473e-01
2,100,10000,5.121216e-01
2,100,10000,5.076897e-01
2,100,10000,6.643841e-01
2,100,10000,5.506875e-01
2,100,10000,5.366664e-01
2,100,10000,5.376465e-01
2,100,10000,5.962278e-01
2,100,10000,5.459825e-01
2,100,10000,5.617828e-01
2,1000,10,4.728147e-02
2,1000,10,4.616315e-02
2,1000,10,4.759702e-02
2,1000,10,4.555117e-02
2,1000,10,5.523093e-02
2,1000,10,4.509972e-02
2,1000,10,4.575827e-02
2,1000,10,4.608717e-02
2,1000,10,4.551348e-02
2,1000,10,4.585464e-02
2,1000,100,5.160381e-01
2,1000,100,5.014994e-01
2,1000,100,5.022804e-01
2,1000,100,4.782491e-01
2,1000,100,4.865600e-01
2,1000,100,4.848005e-01
2,1000,100,5.637477e-01
2,1000,100,5.517682e-01
2,1000,100,4.896051e-01
2,1000,100,5.893922e-01
2,1000,1000,5.149436e+00
2,1000,1000,5.144598e+00
2,1000,1000,5.140399e+00
2,1000,1000,4.856140e+00
2,1000,1000,5.190413e+00
2,1000,1000,5.396658e+00
2,1000,1000,4.963936e+00
2,1000,1000,4.828110e+00
2,1000,1000,4.926245e+00
2,1000,1000,5.163500e+00
2,1000,10000,5.015864e+01
2,1000,10000,5.006330e+01
2,1000,10000,4.909621e+01
